window,rank,n_fit,fit_time_s,n_unstable,max_lambda,max_imag_over_real,primary_full_field,primary_fluctuation,pod_floor_full_field,pod_floor_fluctuation,ratio,rolling_mean_full_field,rolling_max_full_field,rolling_mean_fluctuation,rolling_max_fluctuation,legacy_extrap_full_field,legacy_extrap_fluctuation,legacy_max_imag_over_real
full,1,319,0.11434369900007368,1,1.0004668235778809,0.0,0.2937016785144806,1.0037715435028076,0.2117307484149933,0.7236230373382568,1.3871470285403416,0.2931404784321785,0.2934105396270752,1.0011298954486847,1.0012216567993164,0.2932286560535431,1.0021549463272095,0.0
full,2,319,0.12733849999995073,1,1.0004664659500122,0.0,0.2980709969997406,1.0187042951583862,0.08647051453590393,0.29552653431892395,3.4470824951085124,0.2987307906150818,0.3120137155056,1.020209938287735,1.0647022724151611,0.29323503375053406,1.0021766424179077,0.0
full,4,319,0.10263780000013867,3,1.0018861293792725,0.0,0.08609411865472794,0.29424014687538147,0.06595532596111298,0.22541268169879913,1.3053399009124558,0.06832561828196049,0.06837176531553268,0.2333448939025402,0.23338891565799713,0.3127283751964569,1.068798303604126,0.0
full,8,319,0.12442389899979389,3,1.0018852949142456,0.0,0.07979170978069305,0.2727006673812866,0.024792561307549477,0.08473246544599533,3.218372994660944,0.04610317572951317,0.046668946743011475,0.15745209529995918,0.15962311625480652,0.2994057834148407,1.0232661962509155,0.0
full,11,319,0.10705779899990375,3,1.0019102096557617,0.0,0.06355144828557968,0.21719704568386078,0.016218366101384163,0.05542880669236183,3.9184864793597094,0.04023140948265791,0.04161422327160835,0.13739511743187904,0.14200261235237122,0.286702424287796,0.9798505306243896,0.0
full,12,319,0.0975142990000677,3,1.0019127130508423,0.0,0.05789679288864136,0.1978713721036911,0.014443283900618553,0.0493621863424778,4.008561576925165,0.023725757375359535,0.02430936135351658,0.08102725632488728,0.08295223116874695,0.2932034134864807,1.0020686388015747,0.0
full,15,319,0.09173949900014122,7,1.0017794370651245,0.0,0.03648151829838753,0.12468130886554718,0.011295540258288383,0.03860427811741829,3.2297276149866585,0.016858187969774008,0.017045052722096443,0.057574049569666386,0.05819292739033699,0.3037046790122986,1.0379582643508911,0.0
full,23,319,0.09858110000004672,6,1.0020087957382202,0.0,0.01762651465833187,0.060241375118494034,0.00406181626021862,0.013881892897188663,4.339564748648466,0.008486154023557901,0.008704530075192451,0.028981621842831373,0.029702967032790184,0.2813040614128113,0.9614006876945496,0.0
full,24,319,0.09711669900025299,6,1.002156376838684,0.0,0.01686079055070877,0.057624392211437225,0.003996162675321102,0.013657513074576855,4.219245291197752,0.005583810270763934,0.005747536662966013,0.019069587346166372,0.019612649455666542,0.28147605061531067,0.9619885087013245,0.0
full,32,319,0.09109019999959855,12,1.0024875402450562,0.0,0.030452605336904526,0.10407654941082001,0.002248098375275731,0.007683228235691786,13.545939836004504,0.005132692749612033,0.005167296156287193,0.017529170960187912,0.017673850059509277,0.24304956197738647,0.8306599855422974,0.0
full,63,319,0.12160790000007182,39,1.074702262878418,0.0,0.15024730563163757,0.5134937167167664,0.0005579612334258854,0.0019069199915975332,269.2791122944477,0.008057800470851362,0.012392530217766762,0.027526351157575846,0.04238652065396309,6029298688.0,20606072832.0,0.0
post_transient,1,160,0.020605300000170246,0,0.999998152256012,0.0,0.28724217414855957,0.9816951751708984,0.20384180545806885,0.6966612935066223,1.4091426118556751,0.28728797286748886,0.2874166667461395,0.9811434894800186,0.9829427599906921,0.28724154829978943,0.9816930294036865,0.0
post_transient,2,160,0.02230120000012903,0,0.9999933242797852,0.0,0.291172057390213,0.9951261281967163,0.06493224948644638,0.22191613912582397,4.48424411125616,0.29114941507577896,0.30488142371177673,0.9943170100450516,1.040364384651184,0.28732728958129883,0.9819860458374023,0.0
post_transient,4,160,0.023346699999819975,0,0.9999967813491821,0.0,0.06502200663089752,0.22222289443016052,0.03560328856110573,0.12167982012033463,1.8262921561108214,0.06473850645124912,0.06493613868951797,0.22109467163681984,0.22210291028022766,0.06527797132730484,0.22309768199920654,0.0
post_transient,5,160,0.022352199999659206,0,0.999996542930603,0.0,0.036173462867736816,0.12362848222255707,0.026405831798911095,0.09024606645107269,1.3699043129263784,0.03602834418416023,0.036107856780290604,0.12304342724382877,0.12321291863918304,0.03911672160029411,0.13368752598762512,0.0
post_transient,6,160,0.02192119899973477,2,1.000028133392334,0.0,0.036217983812093735,0.12378063797950745,0.013369638472795486,0.04569283500313759,2.708972563902159,0.035932810977101326,0.03619947284460068,0.12271710485219955,0.12352553755044937,0.0387086495757103,0.13229288160800934,0.0
post_transient,8,160,0.023021500000140804,2,1.0000319480895996,0.0,0.014001619070768356,0.04785272851586342,0.007078156806528568,0.024190710857510567,1.9781447986365466,0.013772456208243966,0.01387766283005476,0.04703576024621725,0.04746616259217262,0.018838059157133102,0.06438201665878296,0.0
